Sl.no,Subject,class ,Title of the book,Author ,Publication,Edition,Price of the book in Rs,Book Condition,Almirah no,Reck no
173,Social Study,10,Total Geography,Rachel & sequire,Morning star,2012,RS196,Good,9124,3
174,Social Study,3,Success With getting ahead in social study,Abbu Sahgal,Orient black swan,2016,RS285,Good,9124,3
175,Social Study,4,Navneet Social studies,,Navneet Publication,,Rs115,Good,9124,3
176,Social Study,4,Starting Geography,Moneesha Sharma & Sheela Ramkrishna,Oxford University Press,2014,Rs197,Good,9124,3
177,Social Study,3,Trek Primary Social Study,"Vibha Roy ,Reena Jain",Oxford University Press,2015,Rs193,Good,9124,3
178,Social Study,5,Social Studies 4 U,Shail Thakur,Kritti Prakashan ltd ,,RS185,Good,9124,3
179,Social Study,7,The Trail,Jayanti Sengupta,Oxford University Press,2017,Rs364,Good,9124,3
180,Social Study,9,Frank Modern part 1(Certificate Geography),"Theresa Maria ,ElenaShariya",Frank Bros & co ltd,2010,Rs190.90,Satisfactory,9124,3
181,Social Study,4,My big book of social Studies ,Pushpa jain,Ratna Sagar,,RS 279.90,Good,9124,3
182,Social Study,9,Icse Indian History World Development,"BB Tayal ,A Jacob",Avichal Publishing Co,2012,RS200,Good,9124,3
183,Geography,10,A text book of Icse Geography (Part II),Veena Bhargava,Goyal Brothers Prakashan,2012,Rs248,Good,9124,3
184,Social Study,4,Trek Primary Social Study,"Vibha Roy ,Reena Jain",Oxford University Press,2016,Rs235,Good,9124,3
185,Social Study,7,Our Earth(A book of geography),Prita chakraborty,Frank Educational Aid,2017,Rs286,Good,9124,3
186,Geography,10,A text book of Icse Geography (Part II),Veena Bhargava,Goyal Brothers Prakashan,2006,Rs198,Satisfactory,9124,3
187,History & Civics,10,Modern Indian History Contemporary World,"BB Tayal ,A Jacob",Avichal Publication,,,Satisfactory,9124,3
188,Social Study,4,My World and I ,"Maneesha Sharma,Amita Prasad",Oxford University Press,2017,Rs264,Good,9124,3
189,Social Study,,Social Studies for Icse Primary School,Sheela Ramkrishna,,,,,,
190,Social Study,10,Modern Indian History Contemporary World,"BB Tayal ,A Jacob",Avichal Publishing Co,2012,RS220,Satisfactory,9124,3
191,Social Study,3,Trek Primary Social Study,"Vibha Roy ,Reena Jain",Oxford University Press,2014,Rs168,Good,9124,3
192,Social Study,5,My big book of social Studies ,Pushpa jain,Ratna Sagar,,Rs369.90,Good,9124,3
193,History & Civics,10,Modern Indian History Contemporary World,"BB Tayal ,A Jacob",Avichal Publishing Co,2015,Rs250,Good,9124,3
194,Social Study,5,Trek Primary Social Study,"Vibha Roy ,Reena Jain",Oxford University Press,2016,Rs241,Good,9124,3
195,Social Study,4,Success With getting ahead in social study,"Abha Sahagal,Sushmita Malik",Orient black swan,2012,RS185,Good,9124,3
196,Social Study,3,Joy Of Social studies ,"Anita Aratha ,Ananya Roy",Frank Bros & co ltd,2013,Rs155.90,Good,9124,3
197,Social Study,5,Harmony ,Sneha ,Fk Publication,2012-13,RS150,Good,9124,3
198,Social Study,4,Trek Primary Social Study,"Vibha Roy ,Reena Jain",Oxford University Press,2014,Rs201,Satisfactory,9124,3
199,Social Study,2,An Informative Social Study,Augustine Manoor  ,Pacific public,,,Good,9124,3
200,Social Study,2,Oscar Sst,Geeta Malhotra ,Three Star Publication,,RS130,Good,9124,3
201,Social Study,2,Learnwell ,Neha  Chakraborty,Holyfaith International(p) ltd,,Rs235,Good,9124,3
202,Social Study,4,Learnwell ,Neha  Chakraborty,Holyfaith International(p) ltd,,Rs240,Good,9124,3
203,Social Study,3,Learnwell ,Neha  Chakraborty,Holyfaith International(p) ltd,,Rs235,Good,9124,3
204,Social Study,1,Learnwell ,Neha  Chakraborty,Holyfaith International(p) ltd,,RS230,Good,9124,3
205,Social Study,4,Learning Edge,Chhavi Goyal,Eduline Publication,2017,Rs320,Good,9124,3
206,Social Study,4,Oscar Sst,Geeta Malhotra ,Three Star Publication,,Rs155,Good,9124,3
207,Social Study,3,Oscar Sst,Geeta Malhotra ,Three Star Publication,,Rs140,Good,9124,3
208,Social Study,1,Samajik Adhyayan ,Sumit,Sumit,,Rs28,Good,9124,3
209,Social Study,2,Parichay,,Holy,,Rs36,Good,9124,3
