Sl.no,Subject,class ,Title of the book,Author ,Publication,Edition,Price of the book in Rs,Book Condition,Almirah no,Reck no
210,Social Study,,Mother Earth,Vk Malhotra ,Three Star Publication,,Rs169,Good,9124,3
211,History & Civics,6,Transitions,Shiladilaya Ghosh,Madhuban Educational Book,2013,RS218,Good,9124,4
212,S.st ,6,Social Science,"KG Sharma
Ravindra Kumar",Prachi,2017,400,Good,,
213,S.st,4,Excellence in Social Studies,"Promila Bishnoi
Ravindra Kumar",Prachi,2017,250,Good,,
214,S.st,7,Social Science,"KG Sharma
Ravindra Kumar",Prachi,2017,430,Good,,
215,S.st,10,Boost Up with Maps,Chhaya,Booster Books,2019,195,Good,,
216,S.st,9,Boost Up with Maps,Chhaya,Booster Books,2019,195,Good,,
217,S.st,8,Boost Up with Maps,Chhaya,Booster Books,2019,195,Good,,
218,S.st,7,Boost Up with Maps,Chhaya,Booster Books,2019,195,Good,,
219,S.st,6,Boost Up with Maps,Chhaya,Booster Books,2019,195,Good,,
221,Maths,10,Monthly Practice book,,Verma Press,Ist edition,Rs70,Needs Improvement,8428,3
222,Maths,6,Mental Maths,HR Malhotra,Som Sudha ,2013,Rs100,Good,8428,3
223,Maths,5,Mental Maths,HR Malhotra,Som Sudha ,2013,Rs80,Good,8428,3
224,Maths,5,Mental Maths,Joy and Gnanaj,Sangam Book,2017,Rs55,Good,8428,3
225,Maths,5,Vishist Ganit,SN Ganguli,Holy Spirit ,,Rs45,Good,8428,3
226,Maths,5,Ganit Parichay,,Bharti Bhawan ,2002,Rs52,Good,8428,3
227,Maths,10,Maths,Sultan chand sons ,Sultan Chand ,2005,Rs135,Needs Improvement,8428,3
228,Maths ,4,Matas Maths,Saurav Mukherjee,Sangam Book,2007,RS55,Satisfactory,8428,3
229,Maths,7,Maths,Rs Aggarwal,Bharti Bhawan ,2017,RS260,Good,8428,3
230,Maths,4,Mental Maths,HR Malhotra,Som Sudha ,2012,Rs80,Good,8428,3
231,Maths,3,Mental Maths,Joycelene,Sangam Book,,Rs72,Satisfactory,8428,3
232,Maths,3,Mental Maths,HR Malhotra,Som Sudha ,2013,Rs80,Good,8428,3
233,Maths,1,Mathematics in life 2,JP Manglik,Gautama Brothers,,RS53,Needs Improvement,8428,3
234,Maths,2,Mental Mathematics,HR Malhotra,Som Sudha ,,RS80,Satisfactory,8428,3
235,Maths,1,Mental Maths,Anjali Patel,Sangam Book,,RS72,Good,8428,3
236,Maths,1,Mathematics in life 1,JP Manglik,Gautama Brothers,,Rs50,Satisfactory,8428,3
237,Maths,8,Connects  with Mthematics,Ashish Kumar,Eduline Publication,2017,Rs390,Satisfactory,8428,3
238,Maths,9,Progyogic Nirdeshika,AP Singh,Sp Jain,2009,Rs70,Good,8428,3
239,Maths,10,2 Copies ,Har Singh,Sp Jain,2010,Rs75,Good,8428,3
240,Maths,8,Po-Mon,Sn Aggarwal,Reema Wisdom,2017,Rs205,Good,8428,3
241,Maths,8,Maths Ahead,Saroja SunderRajan,Orient Longman,2007,,Good,8428,3
243,Maths,7,Connect with Mathematics ,Ashish Kumar,Eduline Publication,2017,Rs390,Good,8426,3
244,Maths,6,Connect with Mathematics ,Ashish Kumar,Eduline Publication,2017,RS390,Good,8426,3
245,Maths,5,Connect with Mathematics ,Ashish Kumar,Eduline Publication,2017,Rs370,Good,8426,3
246,Maths,5,Moving With Mathematics ,Sunitha Nambiar,Eduline Publication,2017,Rs330,Good,8426,3
247,Maths,6,Mathematics,Rs Aggarwal,Bharti Bhawan ,2012,Rs240,Good,8426,3
248,Maths,6,Mathematics,Rs Aggarwal,Bharti Bhawan ,2012,Rs150,Needs Improvement,8426,3
249,Maths,6,Mathematics,Rs Aggarwal,Bharti Bhawan ,2017,Rs250,Good,8426,3
250,Maths,1,Oxford Advantage Mathematics ,Jayashree,Oxford ,2012,,Needs Improvement,8426,3
251,Maths,5,Interactive Mathematics ,Alex Thomas ,Evergreen Publication,2013,Rs250,Good,8426,3
252,Maths,7,Mathematics ,Rs Aggarwal,Bharti Bhawan ,2015,Rs235,Satisfactory,8426,3
253,Maths,6,Po-Mon,Sn Aggarwal,Reem,2017,Rs184,Good,8426,3
254,Maths,7,IIT Foundation Olympiad,YS Srinivasu,Brain Maping Academy,2009,Rs200,Good,8426,3
255,Maths,6,Solution,YS Srinivasu,Brain Maping Academy,2009,Rs85,Good,8426,3
256,Maths,6,Explorer,YS Srinivasu,Brain Maping Academy,2009,Rs200,Good,8426,3
257,Maths,1,Mental Mathematics,HR Malhotra,Som Sudha ,2012,Rs80,Good,8426,3
258,Maths,4,Ganit Parichay,Ram raksha Prasad,Bharti Bhawan ,2003,Rs55,Good,8426,3
259,Maths,5,Maths Plus,Urvashi Ghosh,Blossoms,,Rs90,Satisfactory,8426,3
260,Maths,10,Maths Lab Manual,Rs Aggarwal,Bharti Bhawan ,2008,Rs32,Satisfactory,8426,3
261,Maths,5,PO-Mon,Sn Aggarwal,Reem ,2015,Rs116,Good,8426,3
262,Maths,5,Summore,Jyoti,Bharti Bhawan ,2016,Rs184,Good,8426,3
263,Maths,1,Aao Ganit Sikhe ,Ramchandran,Kamla Prasad ,,Rs5.60,Needs Improvement,8428,3
264,Maths,5,Begin With Mathematics ,HR Malhotra,Som Sudha ,2010,Rs140,Good,8428,3
265,Maths,5,Oxford Advantage Mathematics ,Jayshree Laxman,Oxford,2012,Rs202,Needs Improvement,8428,3
266,Maths,,Targeting Mathematics ,Anuradha Mukherjee,Madhuban Educational Book,2012,RS140,Needs Improvement,8428,3
267,Maths,5,Maths Steps,Asit Das ,Bharti Bhawan ,2015,Rs112,Needs Improvement,8428,3
268,Maths,,Maths Ahead,K. Alamelu,Orient Longman,2001,RS116,Good,8428,3
269,Maths,5,Excellence in Mathematics ,Sanjeev Verma ,Prachi,2016,RS250,Good,8428,3
270,Maths,5,Fun With Mental,Stalin Malhotra ,Frank Bros & co ltd,2012,Rs99.90,Good,8428,3
271,Maths,5,Pacific Math,RS Rajagopala,Pacific ,,,Good,8428,3
272,Maths,4,Maths PLus,Urvashi Ghosh,Blossoms,,RS90,Satisfactory,8428,3
273,Maths,5,Math step,Asit Das ,Bharti Bhawan ,2015,Rs112,Good,8428,3
274,Maths,4,Ganit Parichay,,Bharti Bhawan ,2013,Rs55,Good,8428,3
275,Maths,4,Summore ,Jyoti,Bharti Bhawan ,2016,Rs170,Good,8428,3
276,Maths,5,New Guided Mathematics ,Abhijit ,Oxford ,2012,Rs160,Good,8428,3
277,Maths,4,Fun With Mental Maths ,Stalin Malhotra ,Frank Bros & co ltd,2012,Rs99.90,Needs Improvement,8428,3
278,Maths,4,PO-Mon,Sn Aggarwal,Reem,2015,Rs166,Satisfactory,8428,3
279,Maths,4,Pacific Math,RS Rajagopala,Pacific,,,Satisfactory,8428,3
280,Maths,4,Math Power ,Anita,Fk Publication,2014,Rs200,Satisfactory,8428,3
281,Maths,4,Maths Steps,Asit Das ,Bharti Bhawan ,2015,Rs124,Satisfactory,8428,3
282,Maths,3,Aao Ganit Sikhe ,Vp Gupta,NCERT,2003,RS30,Satisfactory,8428,3
283,Maths,3,Po-Mon,Sn Aggarwal,Reem,2015,Rs157,Good,8428,3
284,Maths,3,Fun With Mental Maths ,Stalin Malhotra ,Frank Bros & co ltd,2012,Rs99.90,Satisfactory,8428,3
285,Maths,3,New Guided Mathematics ,Abhijit Mukherjee,Oxford,2010,RS124,Good,8428,3
286,Maths,3,Excellence in Mathematics ,Sanjeev Verma ,Prachi,2016,Rs230,Satisfactory,8428,3
287,Maths,3,Pacific Math,RS Rajagopala,Prachi,,,Satisfactory,8428,3
288,Maths,3,Connect with Mathematics ,Sunita Aness ,Eduline Publication,2017,RS300,Satisfactory,8428,3
289,Maths,3,Summore Maths,Jyoti Pandiwal,Bharti Bhawan ,2016,RS156,Satisfactory,8428,3
290,Maths,3,Begin With Mathematics ,HR Malhotra,Som Sudha ,2010,RS170,Satisfactory,8428,3
291,Maths,3,Advantage Mathematics ,Jayashree Laxmanam,Oxford ,2013,RS194,Satisfactory,8428,3
292,Maths,3,Math step,Asit Das ,Bharti Bhawan ,2015,RS112,Satisfactory,8428,3
293,Maths,3,Ganit Parichay,Ram raksha Rai,Bharti Bhawan ,2015,RS92,Good,8428,3
294,Maths,2,Begin With Mathematics ,HR Malhotra,Som Sudha ,2008,RS110,Good,8428,3
295,Maths,2,Fun With Mental Maths ,Shelly Joly Stelin,Frank Bros & co ltd,2011,Rs100,Good,8428,3
296,Maths,2,Maths Ahead ,K. Alamelu,Orient Longman,3rd Edition,Rs99,Good,8428,3
297,Maths,2,Number Smart ,Dr Richa Sood ,Saraswati House ,2015,,Good,8428,3
298,Maths,,Fundamnetal Mathematics ,C.Alok ,eastern,2011,RS125,Good,8428,3
299,Maths,2,Oxford Advantage Mathematics ,Jayshree Laxman,oxford,2014,RS212,Good,8428,3
300,Maths,,Moving Ahead ,Rs Chauhan  ,Primer ,2007,RS220,Good,8428,3
301,Maths,,Fundamental Mathematics ,C. Alok,eastern,2015,RS150,Good,8428,3
302,Maths,,New Guided Mathematics ,Abhjit Mukherjee,Oxford,2015,RS99,Good,8428,3
303,Maths,HKG,Precise Mathematics,Subramanam,Selina ,,Rs117,Good,8428,3
304,Maths,HKG,Precise Mathematics,Subramanam,Selina ,,Rs99,Good,8428,3
305,Maths,,Summore,Jyoti Pandiwal,Bharti Bhawan ,2012,,,8428,3
306,Maths,HKG,Precise Mathematics,,Selina ,,Rs117,,8428,3
307,Maths,5,Pacific Math,RS Rajagopala,Pacific Publisher ,2012,,,8428,3
308,Maths,,New Guided Mathematics ,Abhijit Mukherjee,Oxford,2012,Rs91,,8428,3
309,Maths,1,Po-Mon,Sn Aggarwal,Reem,2015,RS142,,8428,3
310,Maths,1,Summore Maths Practise,Jyoti Pandiwal,Bharti Bhawan ,,,,8428,3
311,Maths,1,New Guided Mathematics ,Abhijit ,Oxford,2009,RS96,,8428,3
312,Maths,1,New Enjoying Mathematics,Askalata Badami,Oxford ,2011,RS49,,8428,3
313,Maths,Nur,Maths Acitivity Book-1,,UAE,,RS60,Good,8428,3
314,Maths,1,Maths Steps,Asit Das ,Bharti Bhawan ,2015,RS96,Needs Improvement,8428,3
315,Maths,1,Ganit Parichay,Ramraksha Prasad Rai,Bharti Bhawan ,2003,Rs40,Needs Improvement,8428,3
316,Maths,2,Maths Steps,Asit Das ,Bharti Bhawan ,2015,Rs108,Good,8428,3
317,Maths,1,Connect with Mathematics ,Sunita Nambiar ,Eduline Publication,2017,RS260,Good,8428,3
318,Maths,1,Interactive Mathematics ,Vikas ,Evergreen Publication,2013,RS180,Good,8428,3
319,Maths,1,Exellence in Mathematics ,Sanjeev Verma ,Prachi,2016,RS200,Needs Improvement,8428,3
320,Maths,10,Practical Mathematics ,,B.P,,RS35,Needs Improvement,8428,3
321,Maths,1,Maths Power ,,Fk Publication,2010,RS105,Needs Improvement,8428,3
322,Maths,1,Begin With Mathematics ,HR Malhotra,Som Sudha ,2008,RS100,Good,8428,3
323,Maths,2,Maths Power ,Anita Rajput ,Fk Publication,,Rs185,Good,8428,3
324,Maths,2,Interactive Mathematics ,Vikas sehgal,Evergreen Publication,2013,RS190,Good,8428,3
325,Maths,2,New Guided Mathematics ,Abhijit ,Oxford ,2011,RS123,Needs Improvement,8428,3
326,Maths,2,Summore 2,Jyoti Pandiwal,Bharti Bhawan ,2016,RS144,Good,8428,3
327,Maths,2,Po-Mon,Sn Aggarwal,Reem,2015,Rs149,Good,8428,3
328,Maths,,Maths Magic,,Kartik,,Rs120,Needs Improvement,8428,3
329,Maths,8,Oxford New Enjoying ,Jose paul,Oxford,2018,Rs198,Satisfactory,8428,3
330,Maths,8,School Ganit ,Dr Jp Yadav,Orient ,2000,Rs40,Needs Improvement,8428,3
331,Maths,4,Maths Practice ,,Goyal Brothers Prakashan,,Rs119,Satisfactory,8428,3
332,Maths,2,Maths Practice ,,Goyal Brothers Prakashan,,Rs119,Satisfactory,8428,3
333,Maths,1,Maths Practice ,,Goyal Brothers Prakashan,,Rs119,Satisfactory,8428,3
334,Maths,3,Mathematics Sampler ,,Pearson,,,Satisfactory,8428,3
335,Maths,,Oscar Mathematics ,JC Aggarwal,TSP,,RS115,Needs Improvement,8428,3
336,Maths,6,Mathematics ,Sanjeev Verma ,PRACHI,2018,Rs200,Good,8428,3
337,Maths,5,Oscar Mathematics ,JC Aggarwal,Tsp,,RS160,Satisfactory,8428,3
338,Maths,1,Oscar Mathematics ,JC Aggarwal,Tsp,,RS145,Good,8428,3
339,Maths,2,Oscar Mathematics ,JC Aggarwal,Tsp,,RS155,Good,8428,3
340,Maths,3,Oscar Mathematics ,JC Aggarwal,Tsp,,Rs160,Good,8428,3
341,Maths,4,Oscar Mathematics ,JC Aggarwal,Tsp,,Rs160,Good,8428,3
342,Maths,1,Precise Mathematics,Kamala Subramanyam,Harsh Gupta Selina Publisher ,2014,Rs210,Needs Improvement,8426,3
343,Maths,3,The Joy Of mathematics,Ms Lorrain Mirza ,Frank Bros & co ltd,2015,Rs174.90,Needs Improvement,8426,3
344,Maths,3,Maths Magic ,HR Malhotra,Wonder kids ,2015,Rs190,Satisfactory,8426,3
345,Maths,,Smart Tables,,Navneet Publication,,,Satisfactory,8426,3
346,Maths,1,Grow With Number,Madhu Singh Sirohi,Amity University,2005,RS90,Good,8426,3
347,Maths,,Perfect Maths ,Basudev ,Debjypti Dutta,2006,Rs65,,8426,3
348,Maths,4,Maths Mantra,Preetika  Sawhrey,Sultan Chand ,2014,Rs65,Bad,8426,3
349,Maths,5,Arrow Mathematics,Maya Sukumaran,Arrow,2014,Rs239.90,Satisfactory,8426,3
350,Maths,,My Table Book,,Navdeep Publisher,,Rs160,Good,8426,3
351,Maths,1,Drill Lesson In Mental Arithmetic,KK Dubey,S.Chand ,2013,Rs75,Satisfactory,8426,3
352,Maths,4,The beginner Joy Quotient,Smt Kantu Devi,Flamingo Book,,Rs110.50,Satisfactory,8426,3
353,Maths,5,Maths In Minute ,Priya Nagaranjan,Frank Educational Aid,2008,Rs66,Good,8426,3
354,Maths,5,Mental Maths ,Deepika Jain,Amity University Press,2005,Rs60,Good,8426,3
355,Maths,3,Mental Maths ,Deepika Jain,Amity University Press,,Rs57,Good,8426,3
356,Maths,2,Mental Maths ,Deepika Jain,Amity University Press,,Rs55,Good,8426,3
357,Maths,2,Grow With Number,Madhu Singh Sirohi,Debojyoti Dutta ,2005,Rs104,Good,8426,3
358,Maths,1,Grow With Number,Madhu Singh Sirohi,Debojyoti Dutta ,2016,Rs320,Good,8426,3
359,Maths,3,Mental Mathematics,RN Malhotra,Learning Empowers,,Rs70,Satisfactory,8426,3
360,Maths,3,Puzzle Buzz,Sheila Dhir,Scholastic,2014,Rs100,Good,8426,3
361,Maths,,Living Mthematics,PJ Geaorge,Jaycee,2014,Rs143,Good,8426,3
362,Maths,,Getting Friendly with Maths,Sanjay Kumar,Kaveri Publication,,RS110,Good,8426,3
377,Maths,4,Arrow mathematics ,Mrs Maya Sukumaran,Arrow Publication,2016,Rs299,Satisfactory,8428,3
378,Maths,,Maths Activity For Generation,,Sapphire Publication,,Rs115,Satisfactory,8428,3
379,Maths,3,Maths Magic,HR Malhotra,Sudha Prakashan,2016,Rs190,Satisfactory,8428,3
380,Maths,3,Skylark Mental Maths ,Rajesh Puri,Good Luck Publisher,2014,Rs132,Satisfactory,8428,3
381,Maths,4,Simplified Maths ,Nimmi Jain,Sapphire Publication,2009,RS168,Satisfactory,8428,3
382,Maths,4,Maths Olympiad,Puja Budhraja ,Blue Berry Books,2014,RS150,Satisfactory,8428,3
383,Maths,,New Guided Mathematics ,Abhijit Mukherjee,Oxford University Press,2009,Rs126,Satisfactory,8428,3
384,Maths,3,Maths Magic,HR Malhotra,Wonder kids ,2015,RS119,Satisfactory,8428,3
385,Maths,kg,Maths Activity,,,,,Satisfactory,8428,3
386,Maths,,Numbering 1-20,,Newlee Publication,,Rs57,Satisfactory,8428,3
387,Maths,7,Mental Maths ,Nishi Gupta ,Har Anand Publication,,RS75,Satisfactory,8428,3
388,Maths,,Mental Maths ,Deepika Jian ,Amity University Press,2005,Rs52,Satisfactory,8428,3
389,Maths,,Grafalco Table book(1-10),Sanjeev Gala,Grafalco Publisher,,RS55,Satisfactory,8428,3
390,Maths,,Grafalco Table book(1-20),Sanjeev Gala,Grafalco Publisher,,Rs70,Satisfactory,8428,3
391,Maths,kg,Simplified Maths ,Nimmi Jain,Saphire Publisher,,RS190,Satisfactory,8428,3
392,Maths,,Number 1-50,,Arrow Publication,,RS24.90,Satisfactory,8428,3
393,Maths,,All for Kids Number 7-50,,Sapphire Publication,,RS150,Satisfactory,8428,3
394,Maths,,Numbering 1-50,,Newlee Publication,,RS85,Satisfactory,8428,3
395,Maths,1,Precise Mathematics,Kamala Subramanyam,Selina ,2015,Rs155,Satisfactory,8428,3
397,Maths,,Table Book,"Abha Sahagal,Sushmita Malik",Dhar Book,2010,RS75,Satisfactory,8428,3
398,Maths,,Firefly fly Term Series,Ms Rizvi,Chetana Publication,,Rs105,Satisfactory,8428,3
399,Maths,,Table book for Juniors,,Arya Publication,,Rs80,Satisfactory,8428,3
400,Maths,,Simplified Maths Part A,Nimmi Jain,Sapphire Publication,,Rs210,Satisfactory,8428,3
401,Maths,,Firefly Book,Mrs Maria Vaz,Chetana Publication,,Rs125,Satisfactory,8428,3
402,Maths,,Precise Mathematics,Mrs Kamala Subramanayam,Selina ,2016,Rs195,Satisfactory,8428,3
403,Maths,,Precise Mathematics,Mrs Kamala Subramanayam,Selina ,2016,Rs195,Satisfactory,8428,3
404,Maths,,Number Max,Shailly Mudgal,E3 Edu Solution Pvt Ltd,2016,Rs235,Satisfactory,8428,3
405,Maths,,Mental Mathematics,RN Malhotra,Learning lInk Puublisher,,Rs81,Satisfactory,8428,3
406,Maths,,Mental Mathematics,RN Malhotra,Learning lInk Puublisher,,Rs94,Satisfactory,8428,3
407,Maths,,Active Tables ,Neeta Prakashan,Rekha ,,Rs35,Satisfactory,8428,3
408,Maths,,All for kids  tables,,Sapphire Publication,,Rs140,Satisfactory,8428,3
409,Maths,,My learning Table  Training World,Sonia Relia,Oxford Educate,2016,Rs218,Satisfactory,8428,3
410,Maths,,Turtle ,,Arrow Publication,,Rs159.90,Satisfactory,8428,3
411,Maths,,Magic Mathematics,Shiv Aggarwal,Prem Publication,,RS82,Satisfactory,8428,3
412,Maths,,Teacher Handbooks,,Evergreen Publication,2013,,Good,8428,3
413,Maths,,Teacher Handbooks,,Evergreen Publication,2013,,,8428,3
414,Maths,,Teacher Handbooks,,Evergreen Publication,2013,,Good,8428,3
415,Maths,,Teacher Handbooks,,Evergreen Publication,2013,,Good,8428,3
416,Maths,,Teacher Handbooks,,Evergreen Publication,2013,,Good,8428,3
417,Maths,,Teacher Handbooks,,Evergreen Publication,2013,,Good,8428,3
418,Maths,,Maths Magic ,Hr Malhotra,Som Sudha ,2016,,Good,8428,3
419,Moral Science,1,Joyful Living(2),,Frank ,2016,Rs110,Good,Pg8,
420,Moral Science,1,Gems Of Life,Sr Gerard Paul,Falimingo,,Rs72.50,Satisfactory,,
421,Moral Science,4,Joyful Living(3),,Frank,2016,Rs125,Good,,
422,Moral Science,5,It’s a Wonerful Life,Priya Nagarajan,Frank,2011,Rs85,Good,,
423,Moral Science,3,Moral Values ,Payal Gupta,Seagull,2016,Rs185,Good,,
424,Moral Science,5,Little Leader(2),Shiv Khera ,Macmillan,2017,Rs245,Good,,
425,Moral Science,3,Bright Heart,Benita Sen,Bharti Bhawan ,2017,RS124,Good,,
426,Moral Science,7,Joyful Living,,Frank,2016,Rs165,Good,,
427,Moral Science,2,Joyful Living(2),,,2015,Rs125,Good,,
428,Moral Science,,HitopDesh,Kuwar Anil Kumar,Manoj,2016,Rs100,Good,,
429,Moral Science,1,Bright Heart,Benita Sen,Bharti Bhawan ,2017,Rs120,Good,,
430,Moral Science,5,Joyful Living (3),,Frank,2015,Rs165,Good,,
431,Moral Science,Pre-Primary,Inspiration For life ,Christina ,Marina,,RS90,Good,,
432,Moral Science,3,Bliss,Vk Wishard ,Kriti,2015,RS160,Good,,
433,Moral Science,1,Inspiration Souls,Swati Mehrortra ,Aceirsion,2017,Rs180,Good,,
434,Moral Science,2,Inspiration Souls,Swati Mehrortra ,Aceirsion,2017,Rs180,Good,,
435,Moral Science,3,Inspiration Souls,Swati Mehrortra ,Aceirsion,2017,Rs180,Good,,
436,Moral Science,1,Value Seekers ,Mrs Karuna Garg,Blossoms,,Rs50,Good,,
437,Moral Science,8,Living Values ,Dr Cj Joseph,Jaycee,2007,RS65,Good,,
438,Moral Science,8,Lesson For Living,Mc George,Sairo,,,Needs Improvement,,
439,Moral Science,6,I Can ,Kala Ramanathan,Arrow Publication,2013,Rs94,Good,,
440,Moral Science,,Gems Of Life,Gerald Paul,Flamina,,Rs85,Good,,
441,English,3,Read 'n' tick,Anita Tayal,MTG Books,2010,RS60,Good,8428,2
442,English,4,Read 'n' tick,Anita Tayal,MTG Books,2010,RS61,Good,8428,2
443,English,2,Read 'n' tick,Anita Tayal,MTG Books,2010,RS62,Good,8428,2
444,English,,Young Discoverer,,Popular Prakashan,,RS1495,Good,8428,2
445,English,10,A New Approach to Icse ,RN Das Gupta,Goyal Brothers Prakashan,2013,Rs265,Good,8428,2
446,English,10,Concise Biology,Dr HS Vishnoi,Selina ,2005,Rs148,Good,8428,2
447,English,10,Vigyan Prayogik Pustak,Navdeep ,S.Dineh,,Rs90,Good,8428,2
448,English,,Vigyan Prayogik Pustak,Navdeep ,S.Dineh,,,Good,8428,2
449,English,9,Vigyan Prayogik Pustak,Navdeep ,S.Dineh,,Rs90,Good,8428,2
450,English,,Young Discoverer,,Popular Prakashan,,RS1495,Good,8428,2
451,English,10,Chemistry,,Good Luck Publisher,2000,Rs110,Good,8428,2
452,English,10,Physics,,Goyal Brothers Prakashan,2010,Rs210,Good,8428,2
453,English,3,Green  World ,,Sophy Learns,,Rs250,Good,8428,2
454,English,6,IIT Foundation Olympiad,,Brain Mapping,2009,Rs150,Good,8428,2
455,English,,Vayu Pradushan,,Gyan Ganga,2003,,Good,8428,2
456,English,1,Connect with science ,,Oxford,2016,Rs202,Good,8428,2
457,English,,The children books of the earth,,,,RS20,Good,8428,2
458,English,9,Concise Biology,,Selina,2010,RS152,Good,8428,2
459,English,,Illustrated,,Fortune ,,RS395,Good,8428,2
460,English,10,Chemistry,,Allied Publication,2011,RS168,Good,8428,2
461,English,10,Vigyan Prayogik Pustak,,,,RS90,Good,8428,2
462,English,6,Progressive English Grammer ,Geeta Malhotra ,Three Star Publication,,Rs185,Good,,
463,English,7,Progressive English Grammer ,Geeta Malhotra ,Three Star Publication,,Rs210,Good,,
464,English,6,Lets Discover ,Aarti Raina ,Periwinkle Books,,RS115,Good,,
465,English,,Garden Of Life ,Radhika Krishna Kumar ,Macmillan,,RS165,Good,,
466,English,,Learning To Alphabet ,Megha Singh,Som Sudha ,,RS160,Good,,
467,English,,The Shami Tree,AK Srikumar ,A CBT Publication,,RS12,Needs Improvement,,
468,English,3,Gulmohar ,Usha Aroor,Orient black swan,,RS156,Satisfactory,,
469,English,5,Everyday Conversation in English,,,,RS50,Good,,
470,English,,The Story Of Pinnochhio,,Alka Publication,,RS40,Satisfactory,,
471,English,1,Snow Flakes ,S.Chakravarty,Cambridge University Press,,RS190,Satisfactory,,
472,English,2,A Writers Canvas ,Rashmi Rekha Arya ,Vikash Publishing house ltd,,RS145,Good,,
473,English,Pre-Primary,My  3rd Books of Rhymes ,RK Sabarwal,Modern,,RS130,New,,
474,English,ukg,Active English,DH Homes ,Oxford India,2008,Rs96,New,,
475,English,Nur,Nursury Rhymes ,"Mr Sharma ,Mrs V.Singhania ",Firefly,,RS110,New,,
476,English,10,English Language ,IL Vanchoo,Goyal Brothers Prakashan,2012,RS128,New,,
477,English,Pre-Primary,Capital And Small Letter ,Urvashi Ghosh,Sapphire Publication,,RS140,New,,
478,English,Pre-Primary,Rock With Rhymes ,,Kangaroo  Books,,RS147,New,,
479,English,Pre-Primary,Neha Fun Rhymes ,,Neha Publication house,2014,,New,,
480,English,Pre-Primary,Muskan Rhymes ,,Som Sudha ,,RS110,New,,
481,English,Pre-Primary,Melody Rhymes Book (2),,Arrow,,RS64.90,New,,
482,English,Pre-Primary,All For Kids Capital Letter ,,Sapphire  India ,,RS140,New,,
483,English,Pre-Primary,My book Of capital letter ,,K.Education,,RS115,New,,
484,English,Pre-Primary,Jingles ,,Ever Orward ,,RS116,New,,
485,English,Pre-Primary,Cursive Writing ,Sohit Gupta,Mohit Prakashan,,RS68,New,,
486,English,Pre-Primary,My First Reader ,,Firefly,,RS120,New,,
487,English,Nur,West End Nursury Rhymes ,,Rising Sun,2014,RS110,New,,
488,English,Pre-Primary,English Reader ,Mamta Jaiswal,Marina,,RS120,New,,
489,English,7,New Oxford Modern English,David Harshburgh,Oxford University Press,2016,RS333,Good,,
